Alosa pseudoharengus,Alosa sapidissima,Ammodytes dubius,Anchoa mitchilli,Clupea harengus,Gadus morhua,Glyptocephalus cynoglossus,Limanda ferruginea,Lophius americanus,Melanogrammus aeglefinus,Merluccius bilinearis,Myoxocephalus octodecemspinosus,Paralichthys dentatus,Pseudopleuronectes americanus,Rostroraja eglanteria,Squalus acanthias,Urophycis chuss,Urophycis tenuis,Zoarces americanus
1,0.794682422451994,0.45087719298245615,0,0.8759259259259259,0.23605947955390336,0.0824074074074074,0.4326750448833034,0.4196750902527076,0.43960923623445824,0.45367132867132864,0.30947955390334575,0.032975460122699383,0.44200351493848855,0.013996889580093312,0.8892561983471075,0.4392857142857143,0.09665427509293681,0.35304990757855825
0.794682422451994,1,0.4032496307237814,0.19202363367799113,0.7016248153618907,0.18759231905465287,0.0672082717872969,0.3700147710487445,0.3552437223042836,0.38404726735598227,0.40841949778434267,0.24593796159527326,0.11595273264401773,0.39438700147710487,0.09084194977843427,0.8936484490398818,0.37961595273264404,0.07680945347119646,0.2843426883308715
0.45087719298245615,0.4032496307237814,1,0.022156573116691284,0.8516483516483516,0.18575851393188855,0.14568345323741008,0.8896925858951176,0.8471223021582733,0.918918918918919,0.9766187050359713,0.5845323741007195,0.06474820143884892,0.9620938628158845,0.0029985007496251873,0.9981718464351006,0.7556221889055472,0.16859504132231404,0.6906474820143885
0,0.19202363367799113,0.022156573116691284,1,0.0029542097488921715,0,0.007692307692307693,0.014096185737976783,0.0311284046692607,0.05251141552511415,0.026058631921824105,0,0.08532695374800638,0.02227342549923195,0.10583153347732181,0.32222222222222224,0.015748031496062992,0,0.0022156573116691287
0.8759259259259259,0.7016248153618907,0.8516483516483516,0.0029542097488921715,1,0.18759231905465287,0.16366906474820145,0.7860696517412935,0.9831578947368421,1,1,0.6633466135458167,0,0.8961538461538462,0,1,0.7515822784810127,0.19152854511970535,0.6387959866220736
0.23605947955390336,0.18759231905465287,0.18575851393188855,0,0.18759231905465287,1,0.11521418020679468,0.22965641952983726,0.49416342412451364,0.2673684210526316,1,0.9071428571428571,0,0.2515592515592516,0,0.22965641952983726,0.3813813813813814,0.31338028169014087,0.22407407407407406
0.0824074074074074,0.0672082717872969,0.14568345323741008,0.007692307692307693,0.16366906474820145,0.11521418020679468,1,0.1329394387001477,0.16366906474820145,0.4155251141552511,0.19157894736842104,0.6357142857142857,0,0.16334661354581673,0,0.175,0.16455696202531644,0.24776119402985075,0.33064516129032256
0.4326750448833034,0.3700147710487445,0.8896925858951176,0.014096185737976783,0.7860696517412935,0.22965641952983726,0.1329394387001477,1,0.7090103397341211,0.9027027027027027,0.8159609120521173,0.6633466135458167,0,0.9820717131474104,0,0.99800796812749,0.9634615384615385,0.18806509945750452,0.7684630738522954
0.4196750902527076,0.3552437223042836,0.8471223021582733,0.0311284046692607,0.9831578947368421,0.49416342412451364,0.16366906474820145,0.7090103397341211,1,0.7104874446085672,0.8651079136690647,0.5596638655462185,0,0.9812889812889813,0,0.9581673306772909,1,0.2,0.6962025316455697
0.43960923623445824,0.38404726735598227,0.918918918918919,0.05251141552511415,1,0.2673684210526316,0.4155251141552511,0.9027027027027027,0.7104874446085672,1,0.7680945347119645,0.5989208633093526,0,0.9826923076923076,0,1,0.9884615384615385,0.2,0.7403846153846154
0.45367132867132864,0.40841949778434267,0.9766187050359713,0.026058631921824105,1,1,0.19157894736842104,0.8159609120521173,0.8651079136690647,0.7680945347119645,1,0.4918759231905465,0.05935251798561151,0.8202764976958525,0,1,0.9294755877034359,0.18806509945750452,0.6962025316455697
0.30947955390334575,0.24593796159527326,0.5845323741007195,0,0.6633466135458167,0.9071428571428571,0.6357142857142857,0.6633466135458167,0.5596638655462185,0.5989208633093526,0.4918759231905465,1,0,0.5884476534296029,0,0.7010526315789474,1,0.31044776119402984,0.6506986027944112
0.032975460122699383,0.11595273264401773,0.06474820143884892,0.08532695374800638,0,0,0,0,0,0,0.05935251798561151,0,1,0.033973412112259974,0.18440779610194902,0.4722222222222222,0,0,0
0.44200351493848855,0.39438700147710487,0.9620938628158845,0.02227342549923195,0.8961538461538462,0.2515592515592516,0.16334661354581673,0.9820717131474104,0.9812889812889813,0.9826923076923076,0.8202764976958525,0.5884476534296029,0.033973412112259974,1,0,0.9762340036563071,0.7952755905511811,0.18968692449355432,0.7129629629629629
0.013996889580093312,0.09084194977843427,0.0029985007496251873,0.10583153347732181,0,0,0,0,0,0,0,0,0.18440779610194902,0,1,0.07533234859675036,0,0,0
0.8892561983471075,0.8936484490398818,0.9981718464351006,0.32222222222222224,1,0.22965641952983726,0.175,0.99800796812749,0.9581673306772909,1,1,0.7010526315789474,0.4722222222222222,0.9762340036563071,0.07533234859675036,1,0.7592319054652881,0.171900826446281,0.568685376661743
0.4392857142857143,0.37961595273264404,0.7556221889055472,0.015748031496062992,0.7515822784810127,0.3813813813813814,0.16455696202531644,0.9634615384615385,1,0.9884615384615385,0.9294755877034359,1,0,0.7952755905511811,0,0.7592319054652881,1,0.1536189069423929,0.6924460431654677
0.09665427509293681,0.07680945347119646,0.16859504132231404,0,0.19152854511970535,0.31338028169014087,0.24776119402985075,0.18806509945750452,0.2,0.2,0.18806509945750452,0.31044776119402984,0,0.18968692449355432,0,0.171900826446281,0.1536189069423929,1,0.15214180206794684
